company_name,position_name,position_description,skills
Parship,Product Analyst (all genders),"Was du unbedingt mitbringst: Mindestens 2 Jahre Berufserfahrung im BereichProductAnalytics oder in einer eng verwandten analytischen Rolle. Erfahrung in der ganzheitlichen Bearbeitung von Analytics-Themen (End-to-End) sowie im Aufbau nachhaltiger, skalierbarer Lösungen. Erfahrung mit Experimenten, Funnel-Analysen, Segmentierung, Retention- und Growth-Kennzahlen. Sehr gute SQL-Kenntnisse sowie praktische Erfahrung im Umgang mit Produktdaten in modernen Analytics-Setups (z. B. Snowflake, dbt, Looker/Sigma oder Amplitude) Fähigkeit zum Aufbau zuverlässiger Datenmodelle sowie Erfahrung mit BI-Tools wie Sigma, Tableau oder Power BI. Verständnis für Product Discovery und nutzerzentrierte Produktentwicklung sowie Erfahrung in der Zusammenarbeit mit cross-funktionalen Produktteams. Fähigkeit, Analysen in klare Insights zu übersetzen und Ergebnisse überzeugend an Stakeholder wie Product Manager (allgenders), Designer (allgenders) und User Researcher (allgenders) zu kommunizieren. Sehr gute Englischkenntnisse. | Was du idealerweise noch mitbringst: Erfahrung in einem digitalen Produktumfeld. Erste Berührungspunkte mit der Entwicklung von Mess- und Reporting-Frameworks, einschließlich KPI-Definitionen, Event-Tracking-Konzepten und Experimentier-Setups. Kenntnisse in Python oder R. Gute Deutschkenntnisse.",dbt;Python;Six Sigma;Snowflake;SQL;Tableau
Deloitte,Consultant Cyber Security (m/w/d),"DeloitteDeloitteConsultant Cyber Security (m/w/d)Berlin, Düsseldorf, Frankfurt am Main, Hamburg, Hannover, Köln +4Home-OfficeConsultantConsultingIT-SecurityMathematikTopJetzt bewerbenDeloitte bietet führende Prüfungs- und Beratungsleistungen in Audit & Assurance, Tax & Legal, Consulting und Advisory – für nahezu 90 % der Fortune Global 500® und zahlreiche private Unternehmen. Wir liefern innovative Denkansätze, lösen komplexe Herausforderungen und fördern nachhaltiges Wachstum. Mit rund 470.000 Mitarbeitenden weltweit eröffnen wir hervorragende Karrierechancen – getragen von einem starken „Wir“ und einer Vielfalt an Perspektiven und Fähigkeiten.Du willst im Bereich Consulting – Cyber zu einer sicheren digitalen Transformation beitragen? Unser globales Expert:innen-Team unterstützt Kunden mit technischer und strategischer Expertise ganzheitlich bei allen relevanten Aspekten zum Thema Cyber Security: Von der Gestaltung sicherer Geschäftsprozesse über die Verwendung innovativer Technologien bis hin zur Durchführung von Trainings und Awarenesskampagnen. Sichere unseren gemeinsamen Erfolg und mach mit uns den Unterschied: als Consultant Cyber Security (m/w/d).Standorte: Berlin, Düsseldorf, Frankfurt (Main), Hamburg, Hannover, Köln, Mannheim, München, Nürnberg und Stuttgart.Dein Impact:Als Consultant Cyber Security (m/w/d) sorgst du gemeinsam mit unserem motivierten Team für höchste Cyber Security und meisterst spannende Projekte. Du stellst dich anspruchsvollen Herausforderungen - und verbesserst die IT-Sicherheit unserer Kunden.Impact: Du stärkst die Widerstandsfähigkeit von nationalen und internationalen Kunden gegenüber Cyber Risiken und berätst das Top Management branchenübergreifend.Teamwork: Gemeinsam mit unserem Team identifizierst du Cyber Risiken, entwickelst und implementierst Cyber Security Strategien und verbesserst die Cyber Infrastruktur.Resilienz: Du unterstützt bei verschiedensten Herausforderungen zum Schutz der Cyber Services, über die Erkennung von Attacken und entsprechenden Gegenmaßnahmen bis hin zur Wiederherstellung der Funktionsfähigkeit.Innovation: Als Teil einer Expertengruppe entwickelst du gemeinsam mit deinem Team spannende Lösungen zu komplexen Aufgabenstellungen.Vielfältigkeit: Unser Team ist so vielseitig wie unsere Aufgaben, wir suchen Strateg:innen, Architekt:innen, Techniker:innen, Projekt Manager:innen und vielleicht genau dich.Dein Skillset:Erfolgreich abgeschlossenes Hochschulstudium in der Fachrichtung (Wirtschafts-) Wisse",Consultant;Consulting;IT-Security;Mathematik
zeb,Praktikum IT Consulting für Banken & Versicherungen,"Deine Aufgaben:: Unser Projektalltag bei Banken und Versicherungen ist so vielfältig wie unsere Kunden. Was dich während deines Praktikums im IT-Consulting bei uns – neben vielen weiteren Themen – z. B. erwarten könnte: Du bist Bestandteil eines Teams, welches die IT-Strategie einer Förderbank neu definiert – hier bist du z. B. für die Abklärung der Governance-Aspekte mit dem Kunden verantwortlich. Du unterstützt bei der Einführung unserer Software zur Bankensteuerung für eine Privatbank – dabei legst du den Fokus auf das Deployment mit Cloud-Technologien und bist in enger Abstimmung mit dem Kunden. Du hilfst bei der Fusion zweier Banken im zentralen Projekt-Management-Office – hier bist du für den IT-Part verantwortlich und orchestrierst Projektplan und IT-Anforderungen. Du unterstützt unser Projektteam bei der Prozessoptimierung im Kreditbereich – hier zeigst du Optimierungspotenziale auf, evaluierst geeignete technische KI-Lösungen am Markt und setzt mit unserem Kunden einen ersten Prototyp auf.",Cloud Computing;Consulting;Data Analytics;Java;Networking;Python
PwC Deutschland,KI Consultant Salesforce (w/m/d),"PwC DeutschlandPwC DeutschlandKI Consultant Salesforce (w/m/d)BerlinHome-OfficeArtificial Intelligence (AI)ConsultantConsultingDeveloperSalesforceTopJetzt bewerbenJoin our Community of SolversFür unseren Geschäftsbereich Transformationsuchen wir dich zum nächstmöglichen Zeitpunkt als KI Consultant Salesforce (w/m/d).Das erwartet dichKundenorientierung – Du führst Workshops und Assessments durch, um die geschäftlichen Herausforderungen der Kunden zu verstehen, die Salesforce-Landschaft zu analysieren und Nutzungsmöglichkeiten von Salesforce KI-Lösungen wie Einstein und Salesforce Agentforce zu identifizieren. Lösungsdesign - Du entwickelst maßgeschneiderte KI-gestützte Lösungen, die auf die bestehende Infrastruktur zugeschnitten sind und somit nahtlos in die Salesforce-Landschaft integriert werden. Implementierung - Du begleitest unsere Kunden während des gesamten Implementierungsprozesses von KI-Lösungen, von der Planung über die Datenmigration bis hin zur Systemintegration. Wertrealisierung – Zusammen mit dem Kunden analysierst du die Auswirkung der implementierten KI-Lösungen, identifizierst weitere Optimierungsbereiche und maximierst damit den Return on Investment. Durch kontinuierliche Recherche der neuesten Entwicklungen und Best Practices im Bereich Salesforce KI sind wir dadurch immer einen Schritt voraus.Das bringst du mitDu hast dein Studium der Betriebswirtschaftslehre, (Wirtschafts-) Informatik oder einen vergleichbaren Studiengang erfolgreich abgeschlossen.Du kennst Konzepte der Künstlichen Intelligenz, einschließlich maschinellen Lernens sowie der Verarbeitung natürlicher Sprache und prädiktiver Modellierung.Du hast erste praktische Erfahrung mit Salesforce KI-Lösungen wie Einstein, einschließlich bspw. Einstein Bots, Einstein Discovery oder Einstein Next Best Action sowie in der Entwicklung von KI-Modellen in einer Cloud-Umgebung, idealerweise Salesforce.Als Senior Consultant hast du entsprechend tiefgehende Erfahrung in den genannten Feldern sowie in der Implementierung von Salesforce-Plattformen (Sales Cloud, Service Cloud, Marketing Cloud). Zudem sind entsprechende Zertifizierungen (z.B. Salesforce Certified Administrator, Platform Developer I, Einstein Analytics and Discovery Consultant) wünschenswert.Du beherrschst die Sprachen Deutsch und Englisch fließend in Wort und Schrift.Deine BenefitsFlexibilität – In Abstimmung mit deinem Team erwartet dich ein Mix aus gemeinsamen Bürotagen und Home Office. Dabei gibt es keine Kernarbeitszeiten –",Artificial Intelligence (AI);Consultant;Consulting;Developer;Salesforce
Fast Lane,Google Trainer / Consultant (m/w/d),Deine Aufgaben: Vorbereitung und Durchführung von Google Beratungen bzw. Schulungen im gesamten deutschsprachigen Raum Vermittlung komplexer Sachverhalte im Google Umfeld in verständlicher Form sowie Begeisterung der Schulungsteilnehmer Gegebenenfalls auch internationale Schulungs-und Beratungseinsätze Durchführung von Advanced Services Projekten im Google Umfeld Kursentwicklung im Google Umfeld,Consultant;Consulting;DevOps;Docker;Kommunikation;Linux
Konica Minolta Deutschland,Digital Analyst Power BI (m/w/d),"Dein Profil – das zeichnet dich aus: Idealerweise bringst du einen Hochschulabschluss in Wirtschaftsinformatik, Betriebswirtschaft oder eine vergleichbare Qualifikation mit und hast mind. 2 Jahre Berufserfahrung. Du besitzt hervorragende analytische Fähigkeiten sowie ein hohes Maß an Zuverlässigkeit und Eigenverantwortung.Kundenorientiertes Denken und Handeln sind für dich selbstverständlich. Du verfügst über sehr gute Kenntnisse in MS SQL und Power Query sowie über Erfahrungen im Aufbau und der Optimierung von effizienten Datenmodellen in PowerBI. Du bist sicher im Umgang mit MS Office, insbesondere Excel.Erfahrungen mit SAP, Microsoft Dynamics ERP & CRM, SAP Business Warehouse sowie Plattformen wie Azure Databricks oder Microsoft Fabric sind von Vorteil. Du zeichnest dich durch eine hohe Problemlösungskompetenz sowie ausgezeichnete Kommunikations- und Präsentationsfähigkeiten über alle Führungsebenen hinweg aus. Du kannst komplexe Fakten und Situationen analysieren und anschaulich visualisieren. Du hast ein tiefgehendes Verständnis aller relevanten Geschäftsprozesse. Deinen großen Gestaltungsspielraum füllst du kreativ aus – in den abwechslungsreichen Aufgaben deiner Position wechselst du spielerisch zwischen selbstverantwortlicher Konzentration und der verbindlichen Qualität eines Teamplayers.Mit unterschiedlichen Charakteren kommst du gut zurecht. Augenhöhe ist dabei deine Lieblingssprache. Du sprichst verhandlungssicher Deutsch und verfügst über sehr gute Englischkenntnisse. Wir ermutigen auch Menschen mit Schwerbehinderung, sich auf die ausgeschriebene Stelle zu bewerben.",Business Intelligence;Databricks;ERP;Microsoft Azure;MS Dynamics CRM;MS Power BI;SQL;SAP;Excel;Site Reliability Engineering
Deloitte,Consultant - SAP S/4HANA Plant Maintenance (m/w/d),"DeloitteDeloitteConsultant - SAP S/4HANA Plant Maintenance (m/w/d)Berlin, Düsseldorf, Frankfurt am Main, Hamburg, Hannover, Köln +3Home-OfficeConsultantConsultingManufacturing Execution System (MES)SAPSAP HANASAP S/4HANATopJetzt bewerbenDeloitte bietet führende Prüfungs- und Beratungsleistungen in Audit & Assurance, Tax & Legal, Consulting und Advisory – für nahezu 90 % der Fortune Global 500® und zahlreiche private Unternehmen. Wir liefern innovative Denkansätze, lösen komplexe Herausforderungen und fördern nachhaltiges Wachstum. Mit rund 470.000 Mitarbeitenden weltweit eröffnen wir hervorragende Karrierechancen – getragen von einem starken „Wir“ und einer Vielfalt an Perspektiven und Fähigkeiten.Du willst im Bereich Consulting – SAP internationale Kunden bei der Planung und Umsetzung komplexer SAP-Transformationen begleiten? Unser multidisziplinäres Team unterstützt Unternehmen in anspruchsvollen Projekten, von der Konzeption bis zum Betrieb. Sichere unseren gemeinsamen Erfolg und mach mit uns den Unterschied: als Consultant (m/w/d).Standorte: Berlin, Düsseldorf, Frankfurt (Main), Hamburg, Hannover, Köln, München, Stuttgart und Walldorf.Dein Impact:Als Consultant (m/w/d) berätst du Mandanten bei der Vorbereitung und Durchführung anspruchsvoller SAP-Transformationen - und trägst so maßgeblich zu erfolgreichen Geschäftsprozess-Optimierungen sowienachhaltigen Entscheidungen bei.Hands-on-Einstieg: Du entwickelst maßgeschneiderten Lösungen und Geschäftsprozess-Optimierungen in den Bereichen Instandhaltung und MRO für unsere Kunden im internationalen Umfeld.Entwicklung: Zusätzlich gehören die Planung, Konzeption, Implementierung und Rollout von komplexen SAP S/4HANA Transformationen über den gesamten Projektlebenszyklus hinweg zu deinen Aufgaben.Betreuung: In deinen Projekten übernimmst du Verantwortung als Experte in SAP-Transformationen für die SAP S/4HANA Lösungen im Bereich Instandhaltung und MRO.Weiterentwicklung: Auf Grundlage deiner Kenntnisse, entwickelst du die Expertise und unterstützt bei fachlichen Angeboten im Bereich Instandhaltung und MRO.Dein Skillset:Erfolgreicher Abschluss in (Wirtschafts-)Informatik, (Wirtschafts-)Ingenieurwesens, Betriebswirtschaftslehre oder Wirtschaftswissenschaften. 1-5 Jahre Berufserfahrung in der SAP-Beratung oder beratungsnahen Funktion in der Instandhaltung.Ein sehr gutes Verständnis der unternehmerischen Wertschöpfungskette sowie der betriebswirtschaftlichen Zusammenhänge besonders im Bereich Instandhaltung und das",Consultant;Consulting;Manufacturing Execution System (MES)
PX Consulting,Angular Developer mit Frontend Fokus (m/w/d),"Dich erwarten attraktive Aufgabenstellungen in langfristig angelegten Projekten bei unseren Kunden aus den Bereichen:: Life Science Leisure New Work Mobilität Deine Kollegen aus der Beratung und dem Projektmanagement sorgen für die strukturierte Projektvorbereitung und -Durchführung. Damit stellen wir sicher, dass du dich vollständig auf deine Entwicklungsarbeit konzentrieren kannst. Neueste Hardware und die besten Tools wie bspw. Angular Builder.io / Hygraph / Algolia ⁠⁠Cloudflare ⁠⁠⁠Docker ⁠⁠GitLab CI/CD NestJS / Hono ⁠⁠NgRx ⁠stehen dir zur Verfügung. Damit du deine Fähigkeiten ausbauen und weiterentwickeln kannst, organisieren wir hochwertige Trainings. Genauso verbessern wir kontinuierlich unsere Entwicklungsstandards und unser Tool-Set. | Folgende Aufgaben erwarten dich in deinem neuen Team: realisieren komplexer Applikationen prototypische Entwicklung und Anwendung neuer Technologien programmieren von neuen Features für bestehende Lösungen",Angular;Consulting;Developer;Frontend Entwicklung;Hardware;JavaScript;NestJS;Docker;GitLab CI
d-fine,Consultant (m/w/d),"Ihre Aufgaben bei uns: Fachliche Konzeption von Modellen, Methoden, Prozessen sowie Design und Umsetzung technologischer Lösungen in allen Wirtschaftsbereichen und im Public-Sektor: Einsatz von Data-Science-Methoden Betriebswirtschaftliche Analysen und Simulationen Konzeption, Implementierung und Validierung mathematischer Modelle Verwendung moderner Technologien wie Machine Learning oder Big Data Lösungen Agile Full-Stack-Programmierung von anspruchsvollen Lösungen Fachliche Analyse und Umsetzung regulatorischer Vorgaben Analyse, Konzeption und Digitalisierung von Prozessen Auswahl, Parametrisierung und Integration von Systemen",Big Data;Consultant;Consulting;Digitalisierung;Kommunikation;Machine Learning;Agile
MINDEIGHT,Consultant IT-Management (GN),"MINDEIGHTMINDEIGHTConsultant IT-Management (GN)BerlinHome-OfficeConsultantConsultingDevOpsIT Infrastructure Library (ITIL)Jetzt bewerbenSo gestaltest du unsere Zukunftsthemen mitDu entwickelst mit deinem Projektteam auf Basis geeigneter Modelle Strategien und Lösungen zur optimalen Steuerung der IT unserer Klienten.Du arbeitest konzeptionell, z. B. bei der Entwicklung von IT-Strategien, einer Governance für die IT oder einer modernen IT-Organisation.Du wendest Managementmethoden, Tools und Technologien wie u. a. DevOps, Cloud, ITIL und COBIT an.Du bringst dich und deine Expertise bei der Erstellung von Projektangeboten und ‑präsentationen inhaltlich ein.Du übernimmst entsprechend deiner Qualifikation und Erfahrung Teilprojektverantwortung.Du beobachtest IT-Trends und bringst deine gewonnenen Erkenntnisse in unserer Beraterprodukte ein.Das zeichnet dich ausEin erfolgreich abgeschlossenes Masterstudium der Wirtschaftsinformatik, des Ingenieurwesens, der Naturwissenschaften, Wirtschaftswissenschaften oder eines vergleichbaren Studienganges.Erste Erfahrung in der Beratung oder im IT-Bereich eines Unternehmens ist wünschenswert.Du interessierst dich für bzw. verfügst bereits über erste Kenntnisse in Managementmethoden, Tools und Technologien wie DevOps, Cloud, ITIL, COBIT und digitalen Trends.Du denkst unternehmerisch, analytisch und lösungsorientiert.Du arbeitest pragmatisch und proaktiv.Deutsch und Englisch beherrschst du fließend.Das bieten wirGroßartige Kollegen und TeamarbeitFlexible Arbeitszeit, Homeoffice und 30 Tage UrlaubEnergiekostenzuschuss vom ArbeitgeberTransparentes und leistungsorientiertes BonussystemMentorenprinzip für deine persönliche Entwicklung und fortlaufende Ausbildung„Great Place To Work“-zertifizierter ArbeitsplatzAktive Mitgestaltung des direkten ArbeitsumfeldesModerne technische AusstattungRegelmäßige FeedbackgesprächeVergünstigtes Trainieren im Fitnessstudio (Urban Sports Club) und Firmenfahrrad (JobRad)Regelmäßige Teamevents und FirmenfeiernJetzt bewerbenJob-InfosBerufsfelderConsultingProjektmanagementStudienfächerInformatikIngenieurwissenschaftenNaturwissenschaftenWirtschaftsinformatikWirtschaftsingenieurwesenWirtschaftswissenschaftenAbschlussMaster/DiplomUnternehmenMINDEIGHTProfil1 IT-JobIT-GehälterSalary Calculator Gerry LogoWas kann ich verdienen?Gehalt ausrechnenÄhnliche IT-JobsVirtimoIT-Consultant für die digitale Transformation [m/w/d] Berlin ConsultingCapgeminiTechnical Gen AI Solutions Consultant (w/m/d) Stuttgart +12 Syst",Consultant;Consulting;DevOps;Site Reliability Engineering
Cognizant Mobility,PREEvision Engineer Automotive (gn),"Cognizant MobilityCognizant MobilityPREEvision Engineer Automotive (gn)bundesweit, StuttgartHome-OfficeCoachingConsultingSupportSystem EngineeringJetzt bewerbenWas Dich bei uns erwartet?Beratung unserer namhaften Kunden aus der Automotive Branche im Raum StuttgartEntwicklung von Lösungskonzepten, die auf spezifische Kundenanforderungen und deren Prozesse zugeschnitten sindPREEvision Coaching und Support für UserUnterstützung bei der fachlichen und technischen Klärung von Anforderungen und FragestellungenSicherstellung der Vollständigkeit, Konsistenz und Nachvollziehbarkeit des Models in Absprache mit den Entwicklungsteams und KundenSpezifikation und Test von kundenspezifischen ErweiterungenTeilnahme an regelmäßigen Abstimmungen innerhalb der Entwicklungsteams zur Kärung komplexer ThemenDas bringst Du mit:Abgeschlossene Ausbildung oder Studium im technischen Bereich(Techniker, Fachinformatiker, Elektrotechnik, Fahrzeugtechnik o.Ä.)Praxiserfahrung mit PREEvision oder ähnlichen Modelierungstools (z.B. Cameo Systems Modeler) idealerweise im Automotive E/E - UmfeldAdäquate Erfahrung im Anforerungsmanagement und MBSEGutes Verständnis des E/E - Architekturenentwicklungsprozesses (V-Model, Systems Engineering)PREEvision Certified Application Engineer (CAE) Zeritfizierung wünschenswertErfahrung mit verschiedenen Konfigurationsmöglichkeiten in PREEvision wie Consistenxy Checks, Import- Expot Metriken, Reports, Tabellen Guidelines, TablesKommunikationsstärke sowie sehr gute Deutsch- und Englischkenntnisse (mind. C1)Das bieten wir Dir:AB IN DEN URLAUB! – 30 Tage Jahres-Urlaub für eine ausgewogene Work-Life-BalanceARBEITSZEITENREGELUNG – FLEXIBILITÄT wird bei uns großgeschrieben. Arbeite zwischen 06:00 und 23:00 Uhr und nutze dein Gleitzeitkonto zum Freizeitausgleich.WORKING@HOME – Bei uns kannst du bis zu 100% Deiner wöchentlichen Arbeitszeit im Working@Home zubringen!JOBRAD – ES KANN LOSGERADELT WERDEN! Du bist sportlich und möchtest der Umwelt zuliebe mit dem Fahrrad zur Arbeit kommen?WEITERBILDUNG – Bilde dich weiter! Unsere Cognizant Mobility Academy bietet interessante Schulungen sowohl im Softskill- als auch im Hardskill-Bereich. Zudem arbeiten wir mit Udemy zusammen.ALTERSVORSORGE – Schon jetzt an die Rente denken! Profitiere von einer betrieblichen Altersvorsorge und vermögenswirksamen Leistungen!EDENRED-KARTE oder WELLPASS – Du hast die Wahl zwischen dem Edenred-Guthaben zur Einlösung bei zahlreichen Partnerunternehmen (Tankstellen wie die Total, Restaurants",Coaching;Consulting;Support;System Engineering;Microsoft Visio
EY Deutschland,Senior DevOps Engineer - Digital Health Excellence Center (w/m/d),"Deine Aufgaben: Als Teil unseres Teams im Digital Health Excellence Center in Köln, Berlin, Düsseldorf, Frankfurt/Main, Hamburg, München oder Stuttgart wirst du mit uns deutsche Verwaltungen in Bund, Ländern und Kommunen in die digitale Zukunft führen und moderne und sichere Systeme für Millionen von Menschen erschaffen. Im Fokus steht dabei die digitale Transformation des Gesundheitswesens – von interoperablen IT-Lösungen bis hin zu innovativen Digital-Health-Strategien. Dabei übernimmst du vielfältige Aufgaben: Design, Implementierung und Wartung von Infrastruktur sowie Deployment-Pipelines für Healthcare-Projekte Zusammenarbeit mit Entwicklungs-, Betriebs- und Sicherheitsteams sowie internen Stakeholdern und Partner:innen Sicherstellung von Skalierbarkeit, Zuverlässigkeit und Sicherheit in komplexen Systemlandschaften Einsatz moderner Technologien wie Containerisierung, Orchestrierung und Infrastructure as Code Unterstützung bei Datenmigrationen unter Einhaltung von Integrität, Sicherheit und Compliance",Ansible;Bash;CI/CD (Continuous Integration/Delivery);DevOps;Docker;Grafana
XITASO - enjoy digital excellence,DevOps & Cloud Engineer (all genders),"Diese Aufgaben interessieren Dich: Zusammen mit interdisziplinären Teams und unseren Kunden gestaltest Du individuelle Cloud-Architekturen für hochqualitative und nachhaltige Softwarelösungen. Du sorgst gemeinsam mit Entwicklern und Betreibern für angemessene Automatisierung und reibungslose, auditierbare Deployments und Rollouts. Dazu nutzt Du beispielsweise IaC, Werkzeuge für Konfigurationsmanagement oder wiederverwendbare Deployment-Muster. Du ermöglichst einen zuverlässigen, sicheren und kosteneffizienten Betrieb der Softwarelösungen mittels Observability-Werkzeugen, Härtungsmaßnahmen sowie Kosten- und Ressourcenmanagement. Du bleibst auf dem neuesten Stand der Entwicklungen im Bereich DevOps- und Cloud-Engineering und förderst Initiativen zur Weiterentwicklung, indem Du Dein Wissen mit Teams und Communities teilst. Du unterstützt den technischen Vertrieb mit Deiner fachlichen Expertise.",Amazon Web Services (AWS);Ansible;Cloud Computing;DevOps;Gitlab;Google Cloud Platform
BTC AG,Support Berater *in (m/w/d) GIS,"BTC AGBTC AGSupport Berater *in (m/w/d) GISBerlin, Bremen, Hamburg, Leipzig, Münster, Neckarsulm +3Home-OfficeCloud ComputingConsultingDockerGISIT Infrastructure Library (ITIL)Kubernetes +1TopJetzt bewerbenBTC AG • Oldenburg, Bremen, Hamburg, Münster, Leipzig, Neu-Isenburg, Neckarsulm, Berlin, Home-Office Option, WürzburgReferenzcode: 00007574Einstiegsgehalt: 45.000 - 65.000 € brutto/Jahr (40 Std./Woche, 12 Gehälter)Als Support Berater *in wirst du Teil eines eingespielten Teams aus 18 Kolleg*innen, in der Zusammenarbeit, gegenseitige Unterstützung und ein wertschätzendes Miteinander selbstverständlich sind. Wir arbeiten nach klaren Prozessen, bieten aber bewusst Freiraum für eigene Ideen, damit alle Kolleg*innen Abläufe aktiv mitgestalten und optimieren können.Das erwartet dichDu übernimmst die Betreuung unserer GIS-Anwendungen (ESRI, VertiGIS, SPIE Infograph) inklusive Installation, Wartung und Konfiguration und sorgst dafür, dass die gesamte Infrastruktur reibungslos funktioniertDabei vertiefst du deine Expertise in GIS-Anwendungen sowohl in Cloud als auch OnPrem Lösungen stetig aus und entwickelst dich so fachlich kontinuierlich weiterIm 2nd-Level-Support sorgst du dafür, dass unsere GIS-Anwendungen (ESRI, VertiGIS, SPIE Infograph) zuverlässig laufen, von der Analyse bis zur Lösung von Störungen und der Umsetzung von Service RequestsMit zunehmender Erfahrung unterstützt du im Applikationssupport bei der Analyse und Behebung von Störungen und trägst aktiv zur Qualitätssicherung unserer GIS-Daten beiZudem hast du die Möglichkeit GIS-Projekte zu begleiten, bei Qualitätssicherung zu unterstützen und eng mit unseren Entwicklerteams zusammenzuarbeiten, um Kundenanforderungen aus Betriebssicht zu bewertenDas bringst du mitAbgeschlossenes IT-Studium, IT-Berufsausbildung oder vergleichbare QualifikationInteresse an Geoinformationssystemen und daran in einem abwechslungsreichen Umfeld durch verschiedenste Anforderungen und unterschiedlichen Kundengebieten tätig zu seinTeamfähigkeit und Spaß daran eigenverantwortlich Themen weiterzuentwickelnDu hast Lust auf Support und bringst idealerweise Erfahrung in der Applikationsbetreuung nach ITIL mit sowie in der Störungsbehebung im 2nd- und 3rd-Level-SupportGutes technisches Verständnis und Lust auf zukunftsfähige Technologien wie z. B. Cloudtechnologien, Kubernetes, Docker, ESRI-GIS, etc.Verhandlungssichere Deutschkenntnisse (mindestens C1) für die Beratung unserer KundenDas erwartet dichEinarbeitung remote oder vor Or",Cloud Computing;Consulting;Docker;GIS;Kubernetes;Site Reliability Engineering
Tata Consultancy Services Deutschland GmbH,SAP EWM Consultant (all genders),"Tata Consultancy Services Deutschland GmbHTata Consultancy Services Deutschland GmbHSAP EWM Consultant (all genders)bundesweitCloud ComputingConsultantConsultingERPSAPSAP EWM +3TopJetzt bewerbenStandort: deutschlandweit Startdatum: ab sofortGestalten Sie Ihre IT-Karriere und werden Sie Teil eines internationalen Teams mit Tata Consultancy Services (TCS) Deutschland GmbH.Als Teil der Tata-Gruppe, Indiens größter multinationaler Unternehmensgruppe, beschäftigt TCS über 600.000 der weltweit bestausgebildeten Consultants in 55 Ländern. In Deutschland und Österreich arbeitet TCS derzeit mit über 100 Kunden an deren digitalen Transformationsprojekten zusammen, darunter mehr als 20 Dax-40-Unternehmen und zahlreiche kleine und mittelständische Unternehmen. In Deutschland arbeiten rund 3000 Beschäftigte an neun Standorten für TCS.Über die TCS SAP Practice:Unser Team besteht aus vielen erfahrenen SAP-Expert*innen, welche sich auf SAP-Angebote der nächsten Generation konzentrieren, wie z.B. Digital Core – S/4HANA, Cloud First Lösungen, Cognitive Automation, Conversational UX, etc.TCS hat eine einzigartige Beziehung zu der SAP SE. TCS und SAP beteiligen sich an Co-Innovation und gemeinsamen Go-To-Market Aktivitäten. Auf diese Weise erhalten die TCS-Berater*innen frühzeitig einen Einblick in neue SAP-Produkte. Die digital geprägte Umgebung der TCS SAP Practice und interessante Projekte bieten ein ideales Umfeld für die Mitarbeitenden, um ihr Wissen kontinuierlich zu erweitern und immer zukunftsfähig zu sein.Das erwartet SieMitarbeit an großen internationalen SAP-Business-Transformationsprogrammen (Blueprint, Implementierung, Roll-outs)Mitarbeit in strategischen ERP/IT-Projekten (ERP-Strategie, ERP-Paketauswahl, Health Checks)Teilnahme an den E2E-Projektaktivitäten - SAP Business Blueprint, Konfiguration, Pflichtenheft, Tests und Post-Go-Live-SupportFühren des jeweiligen funktionalen (Sub-) Teams (Onsite/ Offshore)Unterstützung von SAP Presales-AktivitätenDas bringen Sie mitAbgeschlossenes Hochschulstudium im Bereich der Informatik, BWL, Wirtschaftsinformatik oder einem vergleichbaren FachgebietErfahrung mit großen internationalen SAP-Einführungen/RolloutsErfolgreiche Mitarbeit an Projekten zur GeschäftsprozessoptimierungFundierte Erfahrung im SAP MM/EWM-Modul - Materialwirtschaft, Bestandsführung, Erweiterte Lagerverwaltung, Wareneingang, Warenausgang, Retouren, Inventurprüfung, Innenbewegungen und zugehörige StammdatenS/4HANA-ErfahrungErfahrung in der Integration von",Cloud Computing;Consultant;Consulting;ERP
